% Model:              fullCircleThoratic.mph
% Version:            COMSOL 5.4.0.388
% Date:               Jan 11 2020, 13:07
% Dimension:          3
% Nodes:              21343
% Expressions:        4
% Description:        Electric potential, Current density, x component, Current density, y component, Current density, z component
% Length unit:        m
% x                       y                        z                        V (V)                    ec.Jx (A/m^2)            ec.Jy (A/m^2)            ec.Jz (A/m^2)
-0.31625000000000003      -0.009999999999999962    0.006999999999999998     -9.82304545764947E-6     -1.0047405384535265E-5   -2.1120015690027454E-5   7.094574946505299E-6
-0.31625000000000003      -0.008386969709375337    0.007000000000000001     -9.823045457070251E-6    -4.908229616006664E-6    3.009687212100188E-6     9.879184652117168E-6
-0.31625000000000003      -0.00738079382243376     0.007000000000000001     -9.823045457638754E-6    5.581509126300833E-6     6.124077864205963E-5     3.408263776630969E-5
-0.31625000000000003      -0.00645516631440202     0.006999999999999999     -9.82304545903318E-6     7.698255023300171E-6     1.3607826416418882E-4    4.8459440354572655E-5
-0.31625000000000003      -0.005044427235703433    0.006999999999999999     -9.823045463459851E-6    -3.219202513734669E-5    2.4004495737502666E-4    5.476668450543654E-5
-0.31625000000000003      -0.003948846059310443    0.007                    -9.823045467974486E-6    -1.4652127252084966E-6   2.6948478914680293E-4    6.851193764598719E-5
-0.31625000000000003      -0.0018600028265111533   0.007                    -9.823045476266662E-6    6.2822813479608E-5       2.8567314501015277E-4    1.3105338155702941E-4
-0.31625000000000003      -0.0010639715454068192   0.007                    -9.823045479843747E-6    6.582156955517237E-5     3.715833905413644E-4     1.5137407131907284E-4
-0.31625000000000003      -5.4872620924400085E-5   0.007000000000000001     -9.823045486267168E-6    3.145726792774883E-5     4.0890592546195006E-4    8.884194835209682E-5
-0.31625000000000003      0.0013532630204859215    0.007                    -9.823045497465198E-6    1.112558017112036E-6     4.752014287926696E-4     -2.2330389085149202E-5
-0.31625000000000003      0.002567592365327351     0.007                    -9.823045508337293E-6    -5.358762064634763E-6    5.681604129505453E-4     -2.3191720244607064E-5
-0.31625000000000003      0.002807700258184134     0.007                    -9.823045510457166E-6    -4.862487807776629E-5    5.606549505442276E-4     -4.520143313490054E-5
-0.31625000000000003      0.004617835189081182     0.007                    -9.82304552591674E-6     1.720501406895897E-5     5.607663878563374E-4     -8.23099348466533E-5
-0.31625000000000003      0.005087471060768452     0.007                    -9.823045530432042E-6    2.9116633198682385E-5    5.575732544428598E-4     -8.483256366497092E-5
-0.31625000000000003      0.006207426801024464     0.007                    -9.823045540262165E-6    2.9404396614727136E-5    5.239404590039561E-4     -8.703044308579222E-5
-0.31625000000000003      0.007235749943521299     0.006999999999999999     -9.823045548696881E-6    2.1864984213377846E-5    4.563808373182346E-4     -1.0011972098153735E-4
-0.31625000000000003      0.007796650828981679     0.007                    -9.823045553218872E-6    -3.8785976456734055E-5   4.7076768781587243E-4    -1.0354490415935144E-4
-0.31625000000000003      0.00866233464241395      0.007                    -9.823045559147889E-6    -9.798228479400245E-5    3.956124288622236E-4     -7.14043007579577E-5
-0.31625000000000003      0.01000000000000004      0.006999999999999999     -9.823045564397459E-6    -1.4667793437479595E-5   -3.6161768718345755E-5   -8.692715089408942E-5
-0.31592966153272944      0.007630068301772999     0.007                    -9.823045552780522E-6    8.732564131428563E-5     4.555458893822378E-4     -9.765009383809084E-5
-0.3159145369167388       -0.007004742914974061    0.007                    -9.823045457319482E-6    -5.244853984958458E-6    1.029765351902627E-4     3.5386953484997584E-5
-0.3158552194581048       0.00292064946812009      0.006999999999999999     -9.823045512290123E-6    4.679587543604298E-6     5.444706884952709E-4     -4.596351089165721E-5
-0.3157459113978771       0.008566813226141792     0.007                    -9.823045559733263E-6    1.5633468735425408E-4    4.0193719407724277E-4    -6.400145974597833E-5
-0.31570638825460917      -0.007953946380077976    0.007                    -9.82304545642449E-6     -3.575477849954699E-5    2.219251230268704E-5     3.796798900379768E-5
-0.31541719974543586      -0.008794168356124       0.006999999999999999     -9.823045456950879E-6    -3.479967291674528E-5    -2.0259014979403714E-5   2.3851076297650658E-5
-0.3153808803313067       0.0052066631862807645    0.006999999999999999     -9.823045533663405E-6    1.0042536535504345E-4    5.705234120573355E-4     -8.358040861663487E-5
-0.315350473903548        -0.001052098583156953    0.007000000000000001     -9.823045481346732E-6    9.162259590333941E-5     3.63890020842185E-4      1.2885141590904947E-4
-0.31531446373971095      0.004535773942624274     0.007                    -9.823045527273578E-6    9.327924378144551E-5     5.769636999577722E-4     -8.257849040479202E-5
-0.3152210272302173       -0.005877021574901919    0.006999999999999999     -9.823045460341441E-6    3.248333160182277E-5     1.7982315270963456E-4    6.904558952252382E-5
-0.3151780199981555       -0.009249967690673542    0.006999999999999999     -9.823045456891525E-6    -3.285047406052217E-5    -3.682378533759458E-5    3.746335310898235E-5
