% Model:              fullCircleThoratic.mph
% Version:            COMSOL 5.4.0.388
% Date:               Jan 11 2020, 13:11
% Dimension:          3
% Nodes:              21343
% Expressions:        4
% Description:        Electric potential, Current density, x component, Current density, y component, Current density, z component
% Length unit:        m
% x                       y                        z                        V (V)                    ec.Jx (A/m^2)            ec.Jy (A/m^2)            ec.Jz (A/m^2)
-0.31625000000000003      -0.009999999999999962    0.006999999999999998     -9.456964330636034E-5    9.312074999989761E-5     5.025913426178382E-4     9.010166205174322E-5
-0.31625000000000003      -0.008386969709375337    0.007000000000000001     -9.456964331665572E-5    -8.622105013895104E-5    4.187138727054386E-4     -4.5784312680803335E-5
-0.31625000000000003      -0.00738079382243376     0.007000000000000001     -9.456964332517706E-5    2.9972164502831774E-5    5.162324391374301E-4     -8.308042056508983E-5
-0.31625000000000003      -0.00645516631440202     0.006999999999999999     -9.456964333331659E-5    1.3153319564994224E-5    6.386138031212317E-4     -1.4437788305666772E-5
-0.31625000000000003      -0.005044427235703433    0.006999999999999999     -9.456964335594856E-5    3.723428271965053E-5     9.975347161300455E-4     -2.888629812195254E-4
-0.31625000000000003      -0.003948846059310443    0.007                    -9.45696433693807E-5     1.387058097362648E-4     9.556928815708948E-4     -5.506033607730919E-4
-0.31625000000000003      -0.0018600028265111533   0.007                    -9.456964340513898E-5    1.7221040398901033E-4    0.0013228461998117697    -2.4711705321971443E-4
-0.31625000000000003      -0.0010639715454068192   0.007                    -9.456964342196208E-5    1.2705346104158871E-4    0.001361643510717516     -2.0540783110370225E-4
-0.31625000000000003      -5.4872620924400085E-5   0.007000000000000001     -9.456964344299684E-5    1.2474874134911566E-4    0.00130707548091034      -3.4644411680900556E-4
-0.31625000000000003      0.0013532630204859215    0.007                    -9.45696434751521E-5     1.5507908154807528E-4    0.0014083507603540495    -4.888522665415114E-4
-0.31625000000000003      0.002567592365327351     0.007                    -9.456964350640525E-5    8.566650464273666E-5     0.0015039222141477167    -4.8725699067689846E-4
-0.31625000000000003      0.002807700258184134     0.007                    -9.456964351201757E-5    4.263089023016448E-5     0.001494657698076008     -5.0863437544166E-4
-0.31625000000000003      0.004617835189081182     0.007                    -9.456964355532268E-5    3.9841026886585E-5       0.0015402409922856384    -5.087861349848431E-4
-0.31625000000000003      0.005087471060768452     0.007                    -9.45696435667848E-5     4.079719378141039E-5     0.0015493299245785818    -4.939539901290255E-4
-0.31625000000000003      0.006207426801024464     0.007                    -9.456964359337604E-5    6.999198611827672E-5     0.001345049898151605     -5.506974304760035E-4
-0.31625000000000003      0.007235749943521299     0.006999999999999999     -9.456964361553612E-5    4.6462773207408334E-5    0.00108222123437324      -5.512028747424446E-4
-0.31625000000000003      0.007796650828981679     0.007                    -9.45696436284755E-5     -8.754044570650934E-5    0.0012598194199154838    -4.59993458696571E-4
