% Model:              fullCircleThoratic.mph
% Version:            COMSOL 5.4.0.388
% Date:               Jan 11 2020, 13:06
% Dimension:          3
% Nodes:              21343
% Expressions:        4
% Description:        Electric potential, Current density, x component, Current density, y component, Current density, z component
% Length unit:        m
% x                       y                        z                        V (V)                    ec.Jx (A/m^2)            ec.Jy (A/m^2)            ec.Jz (A/m^2)
-0.31625000000000003      -0.009999999999999962    0.006999999999999998     -2.534244695951745E-5    5.9469935457615954E-5    2.7312353860035426E-4    1.5884432960057768E-4
-0.31625000000000003      -0.008386969709375337    0.007000000000000001     -2.5342446961329034E-5   -1.2626594737093474E-6   5.9934211954481946E-5    3.144787464147128E-6
-0.31625000000000003      -0.00738079382243376     0.007000000000000001     -2.5342446963550236E-5   4.340121141827394E-5     1.7772273174399087E-4    4.265827203739033E-5
-0.31625000000000003      -0.00645516631440202     0.006999999999999999     -2.5342446967404548E-5   2.316999985669987E-5     2.474194930934629E-4     1.4789049341406286E-4
-0.31625000000000003      -0.005044427235703433    0.006999999999999999     -2.5342446972046468E-5   8.993354209172259E-5     2.833388177242191E-4     2.2374763196304868E-4
-0.31625000000000003      -0.003948846059310443    0.007                    -2.5342446978628957E-5   4.529885395882641E-5     3.4503093615835165E-4    3.0635803390798884E-4
-0.31625000000000003      -0.0018600028265111533   0.007                    -2.5342446989429322E-5   4.004281262687221E-5     5.11237985838099E-4      6.338919365642036E-4
-0.31625000000000003      -0.0010639715454068192   0.007                    -2.5342446996741964E-5   1.6936407138171875E-5    5.983578299861865E-4     7.146434078999816E-4
-0.31625000000000003      -5.4872620924400085E-5   0.007000000000000001     -2.534244700974521E-5    4.0358166817758895E-5    7.025007196240751E-4     6.488603787966556E-4
-0.31625000000000003      0.0013532630204859215    0.007                    -2.5342447025836838E-5   3.744981114229082E-5     6.661128778618816E-4     6.219997377971198E-4
-0.31625000000000003      0.002567592365327351     0.007                    -2.5342447041797906E-5   4.487769317813375E-5     7.840165158452017E-4     5.861425704218368E-4
