% Model:              fullCircleThoratic.mph
% Version:            COMSOL 5.4.0.388
% Date:               Jan 11 2020, 12:51
% Dimension:          3
% Nodes:              21343
% Expressions:        4
% Description:        Electric potential, Current density, x component, Current density, y component, Current density, z component
% Length unit:        m
% x                       y                        z                        V (V)                    ec.Jx (A/m^2)            ec.Jy (A/m^2)            ec.Jz (A/m^2)
-0.31625000000000003      -0.009999999999999962    0.006999999999999998     1.1948142117379918E-4    -8.932640183090257E-5    -8.283219776750173E-4    -7.85169673034816E-4
-0.31625000000000003      -0.008386969709375337    0.007000000000000001     1.1948142117556178E-4    -2.0277669640365764E-4   6.847965871961936E-5     1.0296427656475963E-4
-0.31625000000000003      -0.00738079382243376     0.007000000000000001     1.1948142117877923E-4    3.135275380478092E-5     -3.9385505033004783E-4   -6.299582853568288E-5
-0.31625000000000003      -0.00645516631440202     0.006999999999999999     1.1948142118280993E-4    9.916534445500047E-5     -1.5835256792104196E-5   -1.6701751240065762E-4
-0.31625000000000003      -0.005044427235703433    0.006999999999999999     1.1948142117827084E-4    -1.2179887570804745E-4   3.239519813433159E-4     -6.709369315647622E-5
-0.31625000000000003      -0.003948846059310443    0.007                    1.1948142116864048E-4    -7.577202995090105E-5    3.489959312075262E-4     8.569064778794487E-5
-0.31625000000000003      -0.0018600028265111533   0.007                    1.1948142115794934E-4    -7.102713303500998E-5    3.9930273174034045E-4    2.2109210279196815E-4
-0.31625000000000003      -0.0010639715454068192   0.007                    1.1948142115392782E-4    -1.5259679075713413E-4   2.7766192555554823E-4    1.798474929483994E-4
-0.31625000000000003      -5.4872620924400085E-5   0.007000000000000001     1.1948142114426867E-4    -9.757004921286934E-5    4.495262658435019E-4     3.0679307002397997E-4
-0.31625000000000003      0.0013532630204859215    0.007                    1.1948142113484872E-4    -9.74855020931587E-5     6.523732788757614E-4     4.4565996977461206E-4
-0.31625000000000003      0.002567592365327351     0.007                    1.1948142112418825E-4    -3.597360310351532E-4    5.607294745433225E-4     5.170761125020041E-4
-0.31625000000000003      0.002807700258184134     0.007                    1.1948142112226265E-4    -3.866702584917308E-4    4.008684671111038E-4     3.994471271320727E-4
-0.31625000000000003      0.004617835189081182     0.007                    1.1948142111989012E-4    -6.882755797228465E-5    -3.2173420887101604E-5   2.790428390726661E-4
-0.31625000000000003      0.005087471060768452     0.007                    1.1948142112152296E-4    -6.114611021384666E-5    3.1055461187107686E-4    3.960033036896662E-4
-0.31625000000000003      0.006207426801024464     0.007                    1.1948142111400966E-4    -1.498250739608689E-4    5.13094014191824E-4      9.723793519260867E-4
-0.31625000000000003      0.007235749943521299     0.006999999999999999     1.1948142110169325E-4    -2.7405130532965173E-4   2.1385062130509368E-4    0.0012622538658781804
-0.31625000000000003      0.007796650828981679     0.007                    1.1948142110229343E-4    -3.5873349084680826E-7   -6.913483640998574E-5    0.001257591452808053
-0.31625000000000003      0.00866233464241395      0.007                    1.1948142110248736E-4    3.75485604821612E-5      -1.4230823652950947E-4   0.0011967069028101945
-0.31625000000000003      0.01000000000000004      0.006999999999999999     1.1948142110555816E-4    -7.066252275790467E-5    1.0560957108829427E-4    9.768593600689712E-4
-0.31592966153272944      0.007630068301772999     0.007                    1.1948142110427648E-4    -2.3571872801362906E-4   5.082728567123186E-5     0.001193401977545993
-0.3159145369167388       -0.007004742914974061    0.007                    1.1948142118590373E-4    -2.611347365683439E-4    -4.017186745371927E-4    -1.3768538484480286E-4
-0.3158552194581048       0.00292064946812009      0.006999999999999999     1.1948142112442638E-4    -3.846194647087064E-4    3.660710462598819E-4     3.905220703234832E-4
-0.3157459113978771       0.008566813226141792     0.007                    1.1948142110406555E-4    -2.956073967497633E-4    -8.725584997440687E-5    0.0011622857335524739
