% Model:              fullCircleThoratic.mph
% Version:            COMSOL 5.4.0.388
% Date:               Jan 11 2020, 12:58
% Dimension:          3
% Nodes:              21343
% Expressions:        4
% Description:        Electric potential, Current density, x component, Current density, y component, Current density, z component
% Length unit:        m
% x                       y                        z                        V (V)                    ec.Jx (A/m^2)            ec.Jy (A/m^2)            ec.Jz (A/m^2)
-0.31625000000000003      -0.009999999999999962    0.006999999999999998     4.508876088111231E-5     6.811048021878226E-6     -6.241928566611913E-4    -2.837555077563546E-4
-0.31625000000000003      -0.008386969709375337    0.007000000000000001     4.508876087979234E-5     6.632462923646092E-5     3.808400002539072E-4     2.222597697824231E-4
-0.31625000000000003      -0.00738079382243376     0.007000000000000001     4.508876087426888E-5     4.311961272915782E-6     3.4920950814746037E-4    2.544561514863782E-4
-0.31625000000000003      -0.00645516631440202     0.006999999999999999     4.508876086896193E-5     5.464109473893503E-6     2.3672840191148702E-4    2.600622250470016E-4
-0.31625000000000003      -0.005044427235703433    0.006999999999999999     4.5088760866351246E-5    -9.858962252753919E-5    1.2463802821261182E-4    3.937521393080804E-4
-0.31625000000000003      -0.003948846059310443    0.007                    4.508876085934943E-5     -1.5997398946375295E-4   1.8314036449915724E-4    5.547250252778619E-4
-0.31625000000000003      -0.0018600028265111533   0.007                    4.508876085954999E-5     -1.9909624282684357E-4   -2.2993155166337577E-4   5.107914690379502E-4
-0.31625000000000003      -0.0010639715454068192   0.007                    4.508876086510706E-5     -1.3842358397845933E-4   -2.80481156368552E-4     3.73087445900503E-4
-0.31625000000000003      -5.4872620924400085E-5   0.007000000000000001     4.50887608642999E-5      -3.407001452853076E-5    1.1417766822537324E-4    2.499239219105285E-4
-0.31625000000000003      0.0013532630204859215    0.007                    4.5088760861043826E-5    -1.2265667743263255E-4   2.3299577894387362E-4    2.5602099588841034E-4
-0.31625000000000003      0.002567592365327351     0.007                    4.5088760855038145E-5    -2.2359637872046935E-4   3.2901716045358626E-4    8.049839199872748E-5
-0.31625000000000003      0.002807700258184134     0.007                    4.508876085300578E-5     -1.3951433068468897E-4   1.3346358460866994E-4    4.568876897374336E-5
-0.31625000000000003      0.004617835189081182     0.007                    4.5088760852417697E-5    -5.298600156985082E-5    -8.689701506883318E-5    -1.8349712825045338E-4
-0.31625000000000003      0.005087471060768452     0.007                    4.508876085240885E-5     -1.5588936523732198E-4   3.119751454009937E-5     -1.9567368924682004E-4
-0.31625000000000003      0.006207426801024464     0.007                    4.508876085401847E-5     -5.746650502123433E-5    -6.648369272822231E-5    -1.0998656862864196E-4
-0.31625000000000003      0.007235749943521299     0.006999999999999999     4.508876085294794E-5     -4.230250507303267E-5    -1.6412357768834948E-4   3.807811988187943E-6
-0.31625000000000003      0.007796650828981679     0.007                    4.508876085689274E-5     5.775901159843315E-5     -4.209135869948091E-4    5.2678266080068114E-5
-0.31625000000000003      0.00866233464241395      0.007                    4.508876086268619E-5     6.834723757649056E-5     -4.700058296854201E-4    2.905987534075403E-5
-0.31625000000000003      0.01000000000000004      0.006999999999999999     4.508876086867346E-5     7.380974618630935E-5     8.03042993213765E-5      -1.7133146845704772E-4
-0.31592966153272944      0.007630068301772999     0.007                    4.508876085732981E-5     -7.444726200478343E-5    -2.8551281631387747E-4   -3.103410389629172E-5
-0.3159145369167388       -0.007004742914974061    0.007                    4.5088760873780796E-5    -1.1362932267267695E-4   2.7545012867120347E-4    2.2373672987061464E-4
-0.3158552194581048       0.00292064946812009      0.006999999999999999     4.508876085519125E-5     -2.2276527970969354E-4   1.9549407741609846E-4    5.302467284883566E-5
-0.3157459113978771       0.008566813226141792     0.007                    4.508876086213591E-5     -5.318309072107274E-5    -4.936073691039581E-4    2.7837361534797774E-5
-0.31570638825460917      -0.007953946380077976    0.007                    4.508876087917188E-5     -1.9307393195839851E-4   3.8200922071631826E-4    2.3899682714016444E-4
-0.31541719974543586      -0.008794168356124       0.006999999999999999     4.508876088753871E-5     -5.482854562701431E-4    5.060652749669648E-4     2.2768051097348804E-4
-0.3153808803313067       0.0052066631862807645    0.006999999999999999     4.5088760853234304E-5    -9.990527580161524E-5    -1.3845815184768904E-5   -2.0747871690618945E-4
