% Model:              fullCircleThoratic.mph
% Version:            COMSOL 5.4.0.388
% Date:               Jan 11 2020, 13:02
% Dimension:          3
% Nodes:              21343
% Expressions:        4
% Description:        Electric potential, Current density, x component, Current density, y component, Current density, z component
% Length unit:        m
% x                       y                        z                        V (V)                    ec.Jx (A/m^2)            ec.Jy (A/m^2)            ec.Jz (A/m^2)
-0.31625000000000003      -0.009999999999999962    0.006999999999999998     1.944759641762032E-6     1.0102061519477271E-5    6.461021682946377E-5     2.2450600074814024E-5
-0.31625000000000003      -0.008386969709375337    0.007000000000000001     1.9447596447525063E-6    6.516017349794181E-5     -1.0364175421458599E-4   -7.731866390817826E-5
-0.31625000000000003      -0.00738079382243376     0.007000000000000001     1.944759645221847E-6     9.990882467002408E-6     4.9965489071884594E-5    7.511021505937053E-6
-0.31625000000000003      -0.00645516631440202     0.006999999999999999     1.9447596445771354E-6    -7.8038593054292E-6      -1.0125426585134237E-4   8.089058409051591E-5
-0.31625000000000003      -0.005044427235703433    0.006999999999999999     1.944759648904946E-6     3.141738514732657E-5     -2.1009118325232513E-4   9.457114623094581E-5
-0.31625000000000003      -0.003948846059310443    0.007                    1.9447596532162717E-6    4.261918144174144E-6     -2.337184838235501E-4    8.464009750609181E-5
-0.31625000000000003      -0.0018600028265111533   0.007                    1.944759661053455E-6     1.8985048136723696E-4    -2.6734481183279506E-5   3.0472980544574965E-4
-0.31625000000000003      -0.0010639715454068192   0.007                    1.9447596617198167E-6    1.5758085632200898E-4    1.8282464753891756E-4    3.771042244229187E-4
-0.31625000000000003      -5.4872620924400085E-5   0.007000000000000001     1.9447596581703226E-6    1.680041074823906E-4     3.054325483377092E-4     1.503048066389915E-4
-0.31625000000000003      0.0013532630204859215    0.007                    1.944759648472108E-6     8.566486419272976E-5     2.3615383456224973E-4    -6.91854292690331E-5
-0.31625000000000003      0.002567592365327351     0.007                    1.9447596420275255E-6    7.345006911395785E-5     3.395236396714823E-4     -7.80456524830292E-5
-0.31625000000000003      0.002807700258184134     0.007                    1.944759640967873E-6     2.390505900156019E-5     3.5440260246096943E-4    -8.192957080355818E-5
-0.31625000000000003      0.004617835189081182     0.007                    1.944759630832504E-6     3.733846117113304E-5     3.564774140917333E-4     1.4967873484335115E-6
-0.31625000000000003      0.005087471060768452     0.007                    1.9447596283577703E-6    6.758413389096599E-5     3.5963326979739215E-4    2.6481454993486754E-5
-0.31625000000000003      0.006207426801024464     0.007                    1.9447596219782133E-6    4.2713946730684194E-5    3.483190627957809E-4     7.775028678137554E-5
-0.31625000000000003      0.007235749943521299     0.006999999999999999     1.9447596162147597E-6    2.3637813213827486E-5    3.1194705139948967E-4    1.3436635308684442E-4
