% Model:              fullCircleThoratic.mph
% Version:            COMSOL 5.4.0.388
% Date:               Jan 11 2020, 12:59
% Dimension:          3
% Nodes:              21343
% Expressions:        4
% Description:        Electric potential, Current density, x component, Current density, y component, Current density, z component
% Length unit:        m
% x                       y                        z                        V (V)                    ec.Jx (A/m^2)            ec.Jy (A/m^2)            ec.Jz (A/m^2)
-0.31625000000000003      -0.009999999999999962    0.006999999999999998     9.143046224904853E-6     -1.7734224968165198E-6   -5.342218103073411E-6    1.6564767338493036E-6
-0.31625000000000003      -0.008386969709375337    0.007000000000000001     9.143046221606509E-6     1.0708015679911277E-6    2.1564676323528455E-4    -6.687547100110164E-6
-0.31625000000000003      -0.00738079382243376     0.007000000000000001     9.1430462173589E-6       3.908955224437347E-6     2.7377025227025585E-4    -6.8726792668564946E-6
-0.31625000000000003      -0.00645516631440202     0.006999999999999999     9.143046213104336E-6     4.023810870245501E-6     3.139323448239257E-4     -8.730116714322022E-6
-0.31625000000000003      -0.005044427235703433    0.006999999999999999     9.143046205370458E-6     8.985158344584048E-7     3.488083414543861E-4     -1.0106085429687682E-5
-0.31625000000000003      -0.003948846059310443    0.007                    9.143046199160082E-6     2.793901714357258E-6     3.6402719501404165E-4    -1.4732310349516575E-5
-0.31625000000000003      -0.0018600028265111533   0.007                    9.143046186307356E-6     -3.3071868096577636E-6   3.841859612384514E-4     -1.6619226162956616E-5
-0.31625000000000003      -0.0010639715454068192   0.007                    9.143046181395754E-6     -2.833470377420312E-7    3.9114387304815644E-4    -1.7642884777276284E-5
-0.31625000000000003      -5.4872620924400085E-5   0.007000000000000001     9.143046175109767E-6     -3.4704183008694396E-8   3.8562178724534405E-4    -1.916799327650225E-5
-0.31625000000000003      0.0013532630204859215    0.007                    9.143046166228645E-6     3.990434791134842E-6     3.7995253087151566E-4    -2.5586697971309037E-5
-0.31625000000000003      0.002567592365327351     0.007                    9.143046158762448E-6     1.0106076962483373E-5    3.781600682755273E-4     -2.5275270441800957E-5
-0.31625000000000003      0.002807700258184134     0.007                    9.14304615729497E-6      4.7907262918797686E-6    3.8478061782085685E-4    -2.690151698987593E-5
-0.31625000000000003      0.004617835189081182     0.007                    9.143046146266574E-6     2.9097304728256236E-6    3.585933157181572E-4     -1.718877900297185E-5
-0.31625000000000003      0.005087471060768452     0.007                    9.143046143657787E-6     -1.4629182355131785E-6   3.526286607396818E-4     -1.64030108931798E-5
-0.31625000000000003      0.006207426801024464     0.007                    9.143046137922601E-6     4.757899326096499E-6     3.1246838787746413E-4    -1.5498059482910425E-5
-0.31625000000000003      0.007235749943521299     0.006999999999999999     9.143046132619555E-6     4.750878909022995E-6     2.696268779759986E-4     -9.175544258683577E-6
-0.31625000000000003      0.007796650828981679     0.007                    9.143046130264729E-6     -1.5963011081166688E-5   2.440909253692167E-4     -1.796663807533761E-6
-0.31625000000000003      0.00866233464241395      0.007                    9.143046127162088E-6     -3.7014408743997154E-5   1.847128108042478E-4     8.118846584829299E-6
-0.31625000000000003      0.01000000000000004      0.006999999999999999     9.143046124878172E-6     -2.14896859870308E-6     -1.0151147630810264E-5   2.6281428422425535E-6
-0.31592966153272944      0.007630068301772999     0.007                    9.14304613053277E-6      3.3934654854349983E-5    2.5007027007299004E-4    -2.9353476904748777E-6
-0.3159145369167388       -0.007004742914974061    0.007                    9.143046215958053E-6     -1.0990771191140727E-5   2.938866289462254E-4     -8.43326755595289E-6
-0.3158552194581048       0.00292064946812009      0.006999999999999999     9.143046156409717E-6     1.5299127019482847E-5    3.820793369805544E-4     -2.2063691328457736E-5
-0.3157459113978771       0.008566813226141792     0.007                    9.143046126911112E-6     6.472419697502185E-5     1.9823340063309774E-4    1.0958488444915413E-5
-0.31570638825460917      -0.007953946380077976    0.007                    9.143046220222484E-6     -2.922459415010047E-5    2.480226696831221E-4     -5.999954861067558E-6
-0.31541719974543586      -0.008794168356124       0.006999999999999999     9.143046223847521E-6     -8.855322964542924E-5    2.0943620209053383E-4    -3.312037805901738E-6
-0.3153808803313067       0.0052066631862807645    0.006999999999999999     9.143046142319895E-6     2.7088180415498132E-5    3.510238748278976E-4     -1.7682164499326806E-5
-0.315350473903548        -0.001052098583156953    0.007000000000000001     9.143046181273073E-6     -1.8405813692401917E-6   3.9325284919679483E-4    -1.4220140625400733E-5
-0.31531446373971095      0.004535773942624274     0.007                    9.143046146299456E-6     2.4636576446196375E-5    3.6242228352707985E-4    -1.7575753930523596E-5
-0.3152210272302173       -0.005877021574901919    0.006999999999999999     9.143046210356133E-6     -2.1109787192524745E-5   3.3782728744504223E-4    -7.562572767016157E-6
-0.3151780199981555       -0.009249967690673542    0.006999999999999999     9.143046224924515E-6     -1.4032045835793455E-4   1.499254131872303E-4     1.837808218640913E-6
-0.3151468658505531       -0.005592161771459517    0.007                    9.143046208760561E-6     -1.986785791030566E-5    3.460208255314049E-4     -6.433269056601771E-6
-0.31511581886989654      0.007311669178411006     0.007                    9.143046130959098E-6     6.093630200321013E-5     2.930257708622508E-4     -3.7182615532727914E-6
-0.31506160048039894      0.008556593897366196     0.006999999999999999     9.143046126219618E-6     1.4731392277395847E-4    2.4791350683279583E-4    1.135932637013934E-5
-0.315046441227167        -0.0076641923327382434   0.007                    9.143046219420357E-6     -6.099433326995086E-5    2.8443780339062563E-4    -6.858463095895723E-6
-0.31502729237548455      -0.008551808322738446    0.007                    9.143046223132766E-6     -1.1122378270579166E-4   2.4373180453128086E-4    -5.670846274418917E-6
-0.3150043262801525       -0.006108426384538331    0.007                    9.143046211571579E-6     -2.611618196941111E-5    3.2879056699007325E-4    -8.756141950876033E-6
-0.31498793811410236      -0.008961386576453144    0.007                    9.143046224885151E-6     -1.4081247839995212E-4   2.18737766337453E-4      -5.960341835117246E-6
-0.3148412298286233       -0.009999999999999962    0.006999999999999998     9.143046228243156E-6     -3.218135531958281E-4    1.1980858978521969E-4    -2.4019001504968752E-5
-0.3148412298286233       -0.009999999999999962    0.006999999999999998     9.143046228243156E-6     -1.8211567451744032E-12  2.2004635029629848E-4    8.128435869318154E-7
-0.3148412298286233       0.01000000000000004      0.007000000000000002     9.143046120167022E-6     3.9663026007360586E-4    1.5280369099664645E-4    1.3261680787089261E-5
-0.3148412298286233       0.01000000000000004      0.007000000000000002     9.143046120167022E-6     2.870928188930533E-12    3.0048705991149487E-4    6.8119367975551085E-6
-0.31481110392940603      4.339962330821869E-4     0.006999999999999999     9.143046171916598E-6     9.313007961863269E-6     3.9216845792035954E-4    -1.732820390249457E-5
-0.3148075049118733       -0.005814303204070723    0.007                    9.143046210147646E-6     -2.315474089750547E-5    3.419305390067968E-4     -7.164946967613292E-6
-0.31479659122761494      0.01131559013884402      0.007000000000000001     8.189039196210672E-6     1.8774792583190394E-5    2.1310396772273072E-4    -9.335608008962015E-7
-0.3147897494674786       -0.011507109370220573    0.007                    9.9311281824597E-6       -1.2375230688963355E-5   1.4593694708099397E-4    7.038684109067313E-8
-0.31476466139127673      0.012161731553033862     0.007                    7.748266073439497E-6     6.967214359046453E-6     1.7698468669496083E-4    2.2575902148400797E-7
-0.3147395995561299       -0.012795167909753017    0.007                    1.0394810587568568E-5    -2.0379172453310236E-6   1.2033461856329033E-4    2.557199464363542E-6
-0.3147313208816392       0.001738531563123123     0.006999999999999999     9.14304616342143E-6      1.854474173469611E-5     3.904152590597012E-4     -2.330503469053298E-5
-0.3147312805129426       -0.013008474417843653    0.007                    1.0472849220946979E-5    -4.0029885082230355E-6   1.1329100701721906E-4    -1.6290540952774239E-7
-0.3147303028534659       0.013026832760367923     0.007                    7.354179646090888E-6     6.897891343522863E-6     1.4387011372845676E-4    6.967288816273199E-7
-0.31472275198829036      -0.013201154134833451    0.007                    1.0526693345837574E-5    -3.912761434033452E-6    1.11430806658547E-4      -6.446153996889025E-7
-0.31470237589023053      -0.006296308671581664    0.006999999999999999     9.143046212865993E-6     -3.147016670537033E-5    3.3117893410723693E-4    -7.848553508791828E-6
-0.31467705290342307      0.014233570701632559     0.007                    6.923083665241974E-6     4.147541722679102E-6     1.2138720260999078E-4    -2.3361997422791773E-7
-0.31465939420290334      -0.014644060617809918    0.006999999999999999     1.0944712317895975E-5    -3.3965451224567854E-6   9.540881080659369E-5     -3.23646551472109E-7
-0.31463347994998025      0.015191194347267838     0.007000000000000001     6.599715762276623E-6     5.334385672151923E-6     1.0762622370741512E-4    -6.167092484500806E-7
-0.31460830988829425      -0.01569657892122027     0.006999999999999999     1.1209457088968296E-5    -4.019107268997754E-6    8.890108878996631E-5     -5.474014570239373E-7
