% Model:              fullCircleThoratic.mph
% Version:            COMSOL 5.4.0.388
% Date:               Jan 11 2020, 12:40
% Dimension:          3
% Nodes:              21343
% Expressions:        4
% Description:        Electric potential, Current density, x component, Current density, y component, Current density, z component
% Length unit:        m
% x                       y                        z                        V (V)                    ec.Jx (A/m^2)            ec.Jy (A/m^2)            ec.Jz (A/m^2)
-0.31625000000000003      -0.009999999999999962    0.006999999999999998     4.013272180950077E-4     -2.513664831838014E-5    -8.59930289938878E-4     -9.78508754212689E-4
-0.31625000000000003      -0.008386969709375337    0.007000000000000001     4.0132721797740445E-4    -3.3990866399350844E-4   0.007172608674831714     -8.773094635464024E-4
-0.31625000000000003      -0.00738079382243376     0.007000000000000001     4.0132721784491115E-4    -5.177945523894479E-4    0.0075662807825637194    -0.0019046460265297698
-0.31625000000000003      -0.00645516631440202     0.006999999999999999     4.0132721774887285E-4    -2.072246879785646E-4    0.006914104410344089     -0.003314348086706071
-0.31625000000000003      -0.005044427235703433    0.006999999999999999     4.0132721761861897E-4    0.001395181041224895     0.005843724450991148     -0.0025648509264759897
-0.31625000000000003      -0.003948846059310443    0.007                    4.013272174938898E-4     -1.532825841696691E-4    0.005924131022909235     -0.0014905244034130263
-0.31625000000000003      -0.0018600028265111533   0.007                    4.013272172818231E-4     -2.0942122956208356E-4   0.0063673625436716725    -0.0017948033396143778
-0.31625000000000003      -0.0010639715454068192   0.007                    4.0132721720416133E-4    -2.1689927599570437E-4   0.006410685824035417     -0.0020940772354523076
-0.31625000000000003      -5.4872620924400085E-5   0.007000000000000001     4.013272171025841E-4     -5.333521924051368E-4    0.006415474265991778     -0.0018992165802958455
-0.31625000000000003      0.0013532630204859215    0.007                    4.013272169625815E-4     -4.532060642476624E-4    0.0055763282050564356    -0.0016807292933442774
-0.31625000000000003      0.002567592365327351     0.007                    4.0132721685766246E-4    -1.1741807698042793E-4   0.006288720311792243     -0.0014283537378865134
-0.31625000000000003      0.002807700258184134     0.007                    4.013272168329748E-4     -1.8036222002933502E-4   0.0063580843258546176    -0.001901607152689242
-0.31625000000000003      0.004617835189081182     0.007                    4.013272166604011E-4     -2.7961943630894264E-4   0.005447780239099101     -0.00231596811954846
-0.31625000000000003      0.005087471060768452     0.007                    4.0132721661873216E-4    -5.3595453474851E-4      0.005301137429623766     -0.002598118624486547
-0.31625000000000003      0.006207426801024464     0.007                    4.0132721651792115E-4    -2.7917639431661686E-4   0.005454121452731126     -0.0031346855675274832
-0.31625000000000003      0.007235749943521299     0.006999999999999999     4.013272164280843E-4     -2.694833118268577E-4    0.0052355686561587145    -0.004115935934598864
-0.31625000000000003      0.007796650828981679     0.007                    4.013272163980282E-4     2.351903352470853E-5     0.003698902961266931     -0.003900966264761524
-0.31625000000000003      0.00866233464241395      0.007                    4.0132721635120685E-4    2.635930142952612E-4     0.001333748171591444     -0.004049729785214618
-0.31625000000000003      0.01000000000000004      0.006999999999999999     4.0132721634183045E-4    2.2530381627342513E-5    4.281676346806762E-4     -0.0029475053953120778
-0.31592966153272944      0.007630068301772999     0.007                    4.013272164071254E-4     -3.8301149702136563E-4   0.004348655679992661     -0.0040578267345533145
-0.3159145369167388       -0.007004742914974061    0.007                    4.013272178147056E-4     -0.0018330720624503895   0.00701707264521466      -0.002766636687276421
-0.3158552194581048       0.00292064946812009      0.006999999999999999     4.0132721682981375E-4    -2.9303484681951014E-4   0.006178775530269966     -0.0017765130223352144
-0.3157459113978771       0.008566813226141792     0.007                    4.013272163527556E-4     -3.709654905840877E-4    0.002158923267129787     -0.004202142785669589
-0.31570638825460917      -0.007953946380077976    0.007                    4.0132721794281336E-4    -0.002590039063090308    0.0076549559764307745    -0.0013148144503695967
-0.31541719974543586      -0.008794168356124       0.006999999999999999     4.013272180715486E-4     -0.004455038296555208    0.0072296779773043844    -0.0010559411043844012
-0.3153808803313067       0.0052066631862807645    0.006999999999999999     4.013272166178762E-4     -5.046410078821747E-4    0.005365329302101561     -0.00243305066225619
-0.315350473903548        -0.001052098583156953    0.007000000000000001     4.013272172212365E-4     -8.127808013912967E-4    0.00625337285902534      -0.002052627936424921
-0.31531446373971095      0.004535773942624274     0.007                    4.01327216686252E-4      -6.285903018551976E-4    0.005499180189679627     -0.002134779481454684
-0.3152210272302173       -0.005877021574901919    0.006999999999999999     4.0132721768461257E-4    -0.0013451450742090194   0.006915198357619575     -0.00419845147877051
-0.3151780199981555       -0.009249967690673542    0.006999999999999999     4.0132721811123604E-4    -0.006426585182956428    0.005139099268042213     -0.0011946542024804238
-0.3151468658505531       -0.005592161771459517    0.007                    4.013272176501066E-4     -0.0018081677336892704   0.005278380445496173     -0.004389461388715275
-0.31511581886989654      0.007311669178411006     0.007                    4.0132721643593676E-4    -6.189231478874372E-4    0.00491017566238035      -0.0036561654564997684
-0.31506160048039894      0.008556593897366196     0.006999999999999999     4.013272163522378E-4     -7.488159725200696E-4    0.0024449188825734084    -0.0040890518507911795
-0.315046441227167        -0.0076641923327382434   0.007                    4.0132721793927767E-4    -0.004007518651255055    0.008245749766578606     -0.0016573718326498318
-0.31502729237548455      -0.008551808322738446    0.007                    4.0132721805611493E-4    -0.00551944307306738     0.008027470594359891     -0.0011794326948524338
-0.3150043262801525       -0.006108426384538331    0.007                    4.013272177126047E-4     -0.0023138393725486745   0.008722598069158807     -0.004654650111604692
-0.31498793811410236      -0.008961386576453144    0.007                    4.0132721811283995E-4    -0.006793467320672879    0.0072795483549007445    -0.001265670825482592
